,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
0,World,"88,024,536","+391,098","1,899,015","+8,265","63,354,138","22,771,383","108,115","11,293",243.6,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,USA,"21,910,945","+53,329","371,101","+1,111","13,029,846","8,509,998","29,021","65,995","1,118","263,900,091","794,861","332,008,010"
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,India,"10,412,704","+16,766","150,592",+220,"10,034,962","227,150","8,944","7,507",109,"178,400,995","128,623","1,387,012,163"
7,Brazil,"7,886,067","+11,528","199,315",+272,"7,036,530","650,222","8,318","36,965",934,"28,600,000","134,057","213,341,358"
8,Russia,"3,332,142","+23,541","60,457",+506,"2,709,452","562,233","2,300","22,828",414,"92,600,000","634,390","145,966,993"
9,,,,,,,,,,,,,
10,UK,"2,889,419","+52,618","78,508","+1,162","1,345,824","1,465,087","2,821","42,447","1,153","58,231,730","855,458","68,070,798"
11,France,"2,705,618",,"66,565",,"198,756","2,440,297","2,616","41,403","1,019","36,457,261","557,890","65,348,510"
12,Turkey,"2,296,102","+12,171","22,264",+194,"2,172,251","101,587","3,201","27,074",263,"25,681,213","302,818","84,807,496"
13,Italy,"2,220,361","+18,020","77,291",+414,"1,572,015","571,055","2,587","36,751","1,279","27,439,249","454,175","60,415,549"
14,Spain,"1,982,544",,"51,430",,N/A,N/A,"2,220","42,394","1,100","27,839,319","595,313","46,764,193"
15,Germany,"1,860,019","+18,791","38,852",+653,"1,474,000","347,167","5,569","22,163",463,"35,118,592","418,462","83,922,959"
16,Colombia,"1,719,771",,"44,723",,"1,569,578","105,470","3,482","33,614",874,"8,420,350","164,579","51,162,846"
17,Argentina,"1,676,171",,"43,976",,"1,474,048","158,147","3,521","36,912",968,"5,050,350","111,216","45,410,084"
18,Mexico,"1,479,835","+13,345","129,987","+1,165","1,119,968","229,880","3,913","11,416","1,003","3,747,317","28,907","129,632,081"
19,Poland,"1,356,882","+12,054","30,241",+186,"1,095,616","231,025","1,590","35,873",799,"7,490,336","198,026","37,825,040"
20,Iran,"1,268,263","+6,360","55,933",+103,"1,050,553","161,777","4,745","15,001",662,"7,993,502","94,545","84,547,024"
21,South Africa,"1,149,591",,"31,368",,"929,239","188,984",546,"19,258",525,"6,898,207","115,559","59,694,133"
22,Ukraine,"1,099,493","+8,997","19,505",+148,"773,214","306,774",177,"25,220",447,"5,645,178","129,487","43,596,601"
23,Peru,"1,024,432",,"37,991",,"962,566","23,875","1,321","30,849","1,144","5,601,619","168,681","33,208,372"
24,Netherlands,"850,790","+9,627","12,084",+85,N/A,N/A,708,"49,596",704,"349,417","20,369","17,154,559"
25,Indonesia,"797,723","+9,321","23,520",+224,"659,437","114,766",,"2,901",86,"7,713,307","28,047","275,016,722"
26,Czechia,"794,740","+17,668","12,621",+84,"649,394","132,725","1,061","74,141","1,177","3,963,785","369,780","10,719,300"
27,Romania,"658,958","+4,951","16,410",+111,"591,596","50,952","1,106","34,373",856,"4,934,119","257,379","19,170,670"
28,Belgium,"655,732","+2,997","19,883",+56,"45,536","590,313",405,"56,452","1,712","7,112,279","612,295","11,615,776"
29,Canada,"632,838","+6,038","16,532",+163,"536,095","80,211",847,"16,692",436,"14,243,625","375,690","37,913,205"
30,Chile,"629,176","+3,693","16,913",+97,"593,235","19,028",862,"32,768",881,"6,709,041","349,410","19,201,032"
31,Iraq,"600,755",+790,"12,869",+4,"551,127","36,759",141,"14,766",316,"4,774,142","117,346","40,684,251"
32,Bangladesh,"519,905","+1,007","7,718",+31,"464,446","47,741",,"3,141",47,"3,317,810","20,043","165,536,766"
33,Pakistan,"495,075","+2,481","10,511",+50,"450,515","34,049","2,251","2,219",47,"6,964,337","31,217","223,091,811"
34,Sweden,"482,284",,"9,262",+32,N/A,N/A,387,"47,601",914,"4,516,665","445,788","10,131,874"
35,Philippines,"482,083","+1,353","9,356",+9,"449,052","23,675",727,"4,369",85,"6,925,504","62,769","110,332,481"
36,Switzerland,"474,764","+3,975","8,171",+62,"317,600","148,993",405,"54,650",941,"3,795,457","436,894","8,687,372"
37,Israel,"470,151","+6,703","3,549",+22,"402,637","63,965",872,"51,117",386,"8,617,780","936,961","9,197,590"
38,Portugal,"456,533","+9,927","7,472",+95,"355,701","93,360",514,"44,841",734,"5,845,618","574,157","10,181,219"
39,Morocco,"448,678","+1,597","7,645",+27,"420,569","20,464",698,"12,082",206,"4,559,754","122,785","37,136,196"
40,Austria,"374,730","+2,540","6,568",+43,"346,901","21,261",373,"41,484",727,"3,857,382","427,031","9,033,018"
41,Saudi Arabia,"363,485",+108,"6,278",+6,"355,037","2,170",328,"10,358",179,"11,250,266","320,587","35,092,719"
42,Serbia,"353,907","+1,787","3,479",+35,"31,536","318,892",229,"40,590",399,"2,366,947","271,469","8,719,022"
43,Hungary,"334,836","+3,068","10,325",+127,"179,541","144,970",367,"34,707","1,070","2,774,915","287,628","9,647,574"
44,Jordan,"304,071","+1,215","3,968",+13,"284,343","15,760",211,"29,650",387,"3,345,942","326,260","10,255,448"
45,Panama,"264,956",,"4,283",,"208,620","52,053",229,"60,914",985,"1,375,143","316,147","4,349,696"
46,Nepal,"263,605",+412,"1,903",+4,"256,644","5,058",,"8,964",65,"1,969,292","66,969","29,405,841"
47,Japan,"258,393","+6,076","3,791",+72,"210,451","44,151",796,"2,046",30,"5,205,293","41,222","126,274,718"
48,Georgia,"235,491","+1,612","2,694",+28,"223,695","9,102",,"59,092",676,"2,005,244","503,175","3,985,180"
49,Azerbaijan,"222,885",+685,"2,845",+27,"203,527","16,513",,"21,881",279,"2,241,908","220,088","10,186,408"
50,UAE,"221,754","+2,988",694,+5,"199,178","21,882",,"22,282",70,"21,903,309","2,200,890","9,952,022"
51,Ecuador,"218,385","+1,008","14,158",+12,"190,350","13,877",382,"12,282",796,"767,133","43,144","17,780,883"
52,Croatia,"216,848",+562,"4,266",+43,"206,310","6,272",209,"52,993","1,043","1,055,211","257,869","4,092,050"
53,Belarus,"206,796","+1,838","1,489",+9,"188,789","16,518",,"21,888",158,"4,092,580","433,182","9,447,706"
54,Bulgaria,"206,392",,"7,961",,"128,789","69,642",379,"29,821","1,150","1,195,226","172,693","6,921,113"
55,Lebanon,"204,699","+4,774","1,566",+16,"137,582","65,551",517,"30,061",230,"2,137,904","313,959","6,809,504"
56,Slovakia,"198,184","+2,137","2,717",+60,"138,383","57,084",458,"36,291",498,"1,496,314","273,999","5,461,017"
57,Dominican Republic,"177,493","+1,115","2,423",+4,"135,587","39,483",290,"16,278",222,"892,748","81,873","10,904,089"
58,Denmark,"176,837","+1,842","1,487",+37,"147,867","27,483",134,"30,475",256,"11,099,561","1,912,799","5,802,784"
59,Costa Rica,"175,038",,"2,267",,"134,911","37,860",245,"34,199",443,"513,929","100,413","5,118,157"
60,Bolivia,"166,981","+1,713","9,287",+46,"135,186","22,508",71,"14,205",790,"433,827","36,906","11,755,034"
61,Armenia,"161,054",+201,"2,901",+11,"147,388","10,765",,"54,298",978,"602,986","203,291","2,966,120"
62,Kazakhstan,"159,819",+775,"2,262",,"146,789","10,768",221,"8,459",120,"5,250,104","277,893","18,892,532"
63,Lithuania,"154,550","+2,331","2,076",+40,"86,109","66,365",199,"57,191",768,"1,700,842","629,391","2,702,363"
64,Kuwait,"152,978",+540,938,,"148,239","3,801",55,"35,551",218,"1,300,034","302,118","4,303,073"
65,Tunisia,"149,881",,"5,004",,"111,599","33,278",355,"12,614",421,"650,964","54,784","11,882,464"
66,Moldova,"148,294",+423,"3,106",+18,"136,800","8,388",245,"36,806",771,"571,141","141,755","4,029,080"
67,Egypt,"145,590",,"7,975",,"115,975","21,640",90,"1,409",77,"1,000,000","9,678","103,324,597"
68,Qatar,"145,271",+210,245,,"142,314","2,712",31,"51,738",87,"1,272,766","453,296","2,807,805"
69,Palestine,"145,252",+995,"1,536",+17,"127,495","16,221",107,"28,138",298,"918,207","177,877","5,162,045"
70,Greece,"142,777",+510,"5,146",+47,"9,989","127,642",391,"13,733",495,"3,503,690","337,007","10,396,495"
71,Guatemala,"141,074",+872,"4,928",+29,"129,542","6,604",5,"7,800",272,"658,693","36,421","18,085,634"
72,Slovenia,"134,545","+2,663","2,922",+23,"109,148","22,475",189,"64,714","1,405","703,552","338,395","2,079,087"
